File Name,bleeding/non-bleeding,bounding_box
A0351.png,bleeding, ['0 0.439514 0.529792 0.866117 0.898667 0.233734']
A0560.png,non-bleeding,-
A0268.png,bleeding, ['0 0.647108 0.206325 0.219869 0.344846 0.125167']
A0145.png,bleeding, ['0 0.536548 0.0996194 0.191422 0.154817 0.155225']
A0244.png,bleeding, ['0 0.713858 0.438707 0.560407 0.514197 0.423634']
A0472.png,bleeding, ['0 0.51761 0.682029 0.782746 0.561732 0.202193']
A0285.png,bleeding, ['0 0.806113 0.633155 0.387773 0.629339 0.321129']
A0376.png,non-bleeding,-
A0350.png,bleeding, ['0 0.441519 0.537983 0.874834 0.922439 0.371815']
A0267.png,bleeding, ['0 0.896478 0.229381 0.182998 0.251209 0.18236']
A0400.png,bleeding, ['0 0.474904 0.484736 0.647297 0.913618 0.21403' '0 0.506282 0.326591 0.573398 0.55783 0.210144']
A0368.png,bleeding,-
A0396.png,bleeding, ['0 0.0206082 0.308951 0.0412165 0.273786 0.150777']
A0258.png,bleeding, ['0 0.368543 0.587591 0.164633 0.176279 0.125077']
A0470.png,bleeding,-
A0056.png,non-bleeding,-
A0245.png,bleeding, ['0 0.713858 0.438707 0.560407 0.514197 0.423634']
A0298.png,bleeding, ['0 0.465397 0.746337 0.78417 0.48641 0.360704']
A0346.png,bleeding,-
A0433.png,bleeding, ['0 0.10782 0.858974 0.215137 0.282053 0.0919401']
A0564.png,non-bleeding,-
A0257.png,bleeding, ['0 0.508461 0.744227 0.778851 0.478778 0.290059']
A0288.png,bleeding, ['0 0.618201 0.692062 0.594779 0.534943 0.181161']
A0365.png,bleeding, ['0 0.451663 0.505483 0.889702 0.98093 0.103786']
A0291.png,bleeding, ['0 0.395807 0.392614 0.141595 0.121675 0.193399']
A0053.png,non-bleeding,-
A0496.png,non-bleeding,-
A0058.png,non-bleeding,-
A0469.png,bleeding, ['0 0.541372 0.638748 0.753372 0.660292 0.560369']
A0287.png,bleeding, ['0 0.696516 0.803399 0.33288 0.353969 0.146973']
A0146.png,bleeding,-
A0363.png,bleeding, ['0 0.496809 0.527396 0.989555 0.94137 0.219954']
A0247.png,bleeding,-
A0554.png,non-bleeding,-
A0266.png,bleeding, ['0 0.222862 0.857542 0.160316 0.1862 0.235417']
A0352.png,bleeding, ['0 0.439514 0.529792 0.866117 0.898667 0.233734']
A0260.png,bleeding, ['0 0.249628 0.358341 0.25313 0.27723 0.291293']
A0087.png,non-bleeding,-
A0461.png,non-bleeding,-
A0256.png,bleeding, ['0 0.508461 0.744227 0.778851 0.478778 0.290059']
A0250.png,bleeding, ['0 0.699282 0.674409 0.34748 0.605196 0.234577']
A0366.png,bleeding, ['0 0.678257 0.215548 0.206245 0.292454 0.147138']
A0438.png,bleeding, ['0 0.611174 0.307806 0.331119 0.615612 0.250803']
A0467.png,bleeding, ['0 0.431847 0.80087 0.259972 0.391817 0.58237']
A0414.png,non-bleeding,-
A0370.png,bleeding, ['0 0.50951 0.553484 0.967073 0.879657 0.201067']
A0286.png,bleeding, ['0 0.628079 0.528234 0.605418 0.860052 0.123477']
A0354.png,bleeding, ['0 0.49375 0.499135 0.985471 0.998117 0.582982']
A0500.png,bleeding, ['0 0.590675 0.334273 0.239128 0.445353 0.207306']
A0299.png,bleeding, ['0 0.465238 0.74432 0.781215 0.465684 0.334592']
A0261.png,bleeding, ['0 0.249628 0.358341 0.25313 0.27723 0.291293']
A0413.png,non-bleeding,-
A0557.png,non-bleeding,-
A0562.png,non-bleeding,-
A0254.png,bleeding,-
A0134.png,bleeding, ['0 0.544835 0.573178 0.82223 0.845982 0.132442']
A0478.png,non-bleeding,-
A0534.png,non-bleeding,-
A0055.png,non-bleeding,-
A0263.png,bleeding, ['0 0.222862 0.857542 0.160316 0.1862 0.235417']
A0188.png,bleeding, ['0 0.531932 0.512605 0.761372 0.915184 0.16556']
A0305.png,non-bleeding,-
A0509.png,bleeding,-
A0070.png,non-bleeding,-
A0315.png,non-bleeding,-
A0353.png,bleeding, ['0 0.49375 0.499135 0.985471 0.998117 0.582982']
A0253.png,bleeding, ['0 0.613872 0.636295 0.492833 0.646745 0.0919929']
A0140.png,bleeding, ['0 0.489516 0.248627 0.289767 0.326577 0.211778']
A0191.png,bleeding, ['0 0.386043 0.173302 0.176214 0.22261 0.262277']
A0508.png,bleeding, ['0 0.50734 0.519924 0.975141 0.954232 0.276228']
A0135.png,bleeding, ['0 0.738259 0.887584 0.286192 0.194855 0.142219']
A0342.png,non-bleeding,-
A0067.png,non-bleeding,-
A0450.png,bleeding, ['0 0.485034 0.460906 0.644143 0.299057 0.530967']
A0269.png,bleeding, ['0 0.418155 0.21089 0.811118 0.417907 0.448921']
A0510.png,non-bleeding,-
A0148.png,bleeding, ['0 0.402148 0.679178 0.140607 0.175277 0.130877']
A0137.png,bleeding, ['0 0.500211 0.502267 0.999577 0.950164 0.131634']
A0488.png,non-bleeding,-
A0304.png,non-bleeding,-
A0549.png,non-bleeding,-
A0290.png,bleeding, ['0 0.618144 0.418463 0.363699 0.408245 0.125032']
A0356.png,non-bleeding,-
A0292.png,bleeding, ['0 0.0675958 0.25492 0.133923 0.379256 0.168261']
A0264.png,bleeding,-
A0259.png,bleeding,-
A0378.png,non-bleeding,-
A0530.png,non-bleeding,-
A0459.png,non-bleeding,-
A0563.png,non-bleeding,-
A0343.png,non-bleeding,-
A0167.png,bleeding, ['0 0.746762 0.216631 0.271588 0.307044 0.377547' '0 0.438699 0.182114 0.381554 0.233639 0.216301']
A0541.png,non-bleeding,-
A0406.png,bleeding, ['0 0.349651 0.610101 0.685412 0.695627 0.190889']
A0481.png,non-bleeding,-
A0504.png,non-bleeding,-
A0362.png,bleeding, ['0 0.0733529 0.755417 0.146208 0.464328 0.205224']
A0561.png,non-bleeding,-
A0131.png,bleeding,-
A0205.png,non-bleeding,-
A0369.png,bleeding, ['0 0.50951 0.553484 0.967073 0.879657 0.201067']
A0248.png,bleeding, ['0 0.699282 0.674409 0.34748 0.605196 0.234577']
A0416.png,non-bleeding,-
A0136.png,bleeding, ['0 0.670936 0.951756 0.650646 0.0964889 0.0973299']
A0175.png,bleeding, ['0 0.475063 0.499745 0.887006 0.996683 0.22581']
A0141.png,bleeding,-
A0428.png,non-bleeding,-
A0444.png,non-bleeding,-
A0455.png,non-bleeding,-
A0270.png,bleeding,-
A0468.png,bleeding, ['0 0.53821 0.638082 0.701007 0.701902 0.482741']
A0442.png,non-bleeding,-
A0409.png,bleeding, ['0 0.404883 0.271503 0.80272 0.543006 0.268458']
A0340.png,non-bleeding,-
A0252.png,bleeding, ['0 0.457905 0.46057 0.133662 0.12875 0.100088']
A0068.png,non-bleeding,-
A0152.png,bleeding, ['0 0.500161 0.781958 0.825972 0.423859 0.109059']
A0300.png,bleeding, ['0 0.465238 0.74432 0.781215 0.465684 0.334592']
A0183.png,bleeding,-
A0127.png,non-bleeding,-
A0128.png,non-bleeding,-
A0341.png,non-bleeding,-
A0394.png,bleeding, ['0 0.510612 0.119294 0.203747 0.238588 0.11984']
A0410.png,bleeding, ['0 0.683456 0.774248 0.513386 0.302604 0.108359']
A0361.png,bleeding, ['0 0.439633 0.383488 0.231421 0.336989 0.210901']
A0262.png,bleeding, ['0 0.711621 0.226464 0.434848 0.330493 0.083806']
A0153.png,bleeding, ['0 0.520232 0.501063 0.95083 0.997874 0.110237']
A0357.png,non-bleeding,-
A0057.png,non-bleeding,-
A0154.png,bleeding, ['0 0.830725 0.734144 0.337979 0.530224 0.149583']
A0206.png,non-bleeding,-
A0107.png,non-bleeding,-
A0471.png,bleeding, ['0 0.51761 0.682029 0.782746 0.561732 0.202193']
A0465.png,non-bleeding,-
A0189.png,bleeding, ['0 0.548771 0.51455 0.665182 0.924096 0.162617']
A0333.png,bleeding, ['0 0.752382 0.287291 0.324239 0.380006 0.534872']
A0282.png,non-bleeding,-
A0316.png,non-bleeding,-
A0317.png,non-bleeding,-
A0434.png,non-bleeding,-
A0402.png,bleeding,-
A0533.png,non-bleeding,-
A0386.png,non-bleeding,-
A0249.png,bleeding,-
A0321.png,non-bleeding,-
A0503.png,non-bleeding,-
A0538.png,non-bleeding,-
A0491.png,non-bleeding,-
A0105.png,non-bleeding,-
A0281.png,non-bleeding,-
A0511.png,non-bleeding,-
A0197.png,bleeding, ['0 0.571656 0.804754 0.716348 0.389986 0.226109']
A0456.png,non-bleeding,-
A0507.png,bleeding, ['0 0.801607 0.436031 0.161172 0.162232 0.205358']
A0074.png,non-bleeding,-
A0155.png,bleeding, ['0 0.913059 0.253914 0.169482 0.350721 0.298677']
A0092.png,non-bleeding,-
A0156.png,bleeding, ['0 0.913059 0.253914 0.169482 0.350721 0.298677']
A0324.png,non-bleeding,-
A0185.png,bleeding,-
A0132.png,bleeding, ['0 0.455611 0.222847 0.105274 0.146774 0.542071']
A0106.png,non-bleeding,-
A0372.png,non-bleeding,-
A0454.png,non-bleeding,-
A0139.png,bleeding, ['0 0.471065 0.654604 0.605967 0.635177 0.262907']
A0075.png,non-bleeding,-
A0309.png,non-bleeding,-
A0463.png,non-bleeding,-
A0272.png,bleeding, ['0 0.754876 0.348468 0.488061 0.393293 0.198922']
A0536.png,non-bleeding,-
A0077.png,non-bleeding,-
A0453.png,bleeding,-
A0475.png,bleeding,-
A0220.png,non-bleeding,-
A0196.png,bleeding, ['0 0.571656 0.804754 0.716348 0.389986 0.226109']
A0212.png,non-bleeding,-
A0176.png,bleeding, ['0 0.475063 0.499745 0.887006 0.996683 0.22581']
A0059.png,non-bleeding,-
A0165.png,bleeding, ['0 0.388725 0.565974 0.325377 0.341035 0.105564']
A0130.png,bleeding, ['0 0.657676 0.746552 0.496694 0.441566 0.208159']
A0181.png,bleeding, ['0 0.756434 0.750909 0.476351 0.482557 0.222687']
A0216.png,non-bleeding,-
A0182.png,bleeding, ['0 0.519399 0.532238 0.929114 0.933833 0.104886']
A0101.png,non-bleeding,-
A0443.png,non-bleeding,-
A0392.png,non-bleeding,-
A0243.png,bleeding, ['0 0.563352 0.277868 0.848912 0.424295 0.41377' '0 0.560021 0.51596 0.861925 0.927085 0.354406']
A0544.png,non-bleeding,-
A0158.png,bleeding,-
A0439.png,bleeding, ['0 0.449851 0.622495 0.606634 0.709849 0.395433' '0 0.474801 0.634466 0.860759 0.710185 0.236469']
A0436.png,non-bleeding,-
A0157.png,bleeding, ['0 0.809142 0.243549 0.251675 0.392345 0.0967947']
A0162.png,bleeding, ['0 0.510864 0.782468 0.798029 0.418918 0.528514' '0 0.435528 0.192278 0.249468 0.384555 0.24449']
A0483.png,non-bleeding,-
A0419.png,non-bleeding,-
A0274.png,bleeding, ['0 0.428765 0.746752 0.84961 0.492635 0.241739']
A0052.png,non-bleeding,-
A0198.png,bleeding, ['0 0.449068 0.291617 0.817434 0.48651 0.13565']
A0301.png,non-bleeding,-
A0385.png,bleeding, ['0 0.529782 0.217274 0.373359 0.434547 0.224751']
A0418.png,non-bleeding,-
A0412.png,non-bleeding,-
A0498.png,bleeding, ['0 0.359839 0.196153 0.239841 0.338228 0.50139']
A0429.png,non-bleeding,-
A0078.png,non-bleeding,-
A0344.png,non-bleeding,-
A0193.png,bleeding, ['0 0.532782 0.794463 0.902494 0.410079 0.216051']
A0482.png,non-bleeding,-
A0314.png,non-bleeding,-
A0531.png,non-bleeding,-
A0207.png,non-bleeding,-
A0215.png,non-bleeding,-
A0093.png,non-bleeding,-
A0186.png,bleeding, ['0 0.480068 0.526953 0.901114 0.946093 0.0940465']
A0192.png,bleeding, ['0 0.532782 0.794463 0.902494 0.410079 0.216051' '0 0.572177 0.710238 0.853486 0.577832 0.20469']
A0542.png,non-bleeding,-
A0532.png,non-bleeding,-
A0296.png,bleeding, ['0 0.551239 0.203952 0.241496 0.304293 0.0889761']
A0374.png,non-bleeding,-
A0294.png,bleeding,-
A0276.png,bleeding,-
A0393.png,bleeding, ['0 0.145384 0.664771 0.0730631 0.0639954 0.295473']
A0517.png,non-bleeding,-
A0515.png,non-bleeding,-
A0487.png,non-bleeding,-
A0494.png,non-bleeding,-
A0417.png,non-bleeding,-
A0195.png,bleeding, ['0 0.532483 0.340933 0.243876 0.388193 0.236877']
A0073.png,non-bleeding,-
A0209.png,non-bleeding,-
A0360.png,bleeding, ['0 0.470414 0.488294 0.0967173 0.126311 0.467463' '0 0.112051 0.724669 0.223032 0.523941 0.321637']
A0547.png,bleeding, ['0 0.819099 0.648718 0.361524 0.644088 0.236249']
A0079.png,non-bleeding,-
A0423.png,non-bleeding,-
A0332.png,non-bleeding,-
A0308.png,non-bleeding,-
A0114.png,non-bleeding,-
A0202.png,bleeding, ['0 0.432976 0.31289 0.820808 0.50994 0.240159']
A0462.png,non-bleeding,-
A0518.png,non-bleeding,-
A0277.png,bleeding, ['0 0.450807 0.31409 0.857331 0.528963 0.331585']
A0200.png,bleeding, ['0 0.434259 0.295673 0.773163 0.518659 0.27863']
A0100.png,non-bleeding,-
A0204.png,bleeding, ['0 0.42508 0.299504 0.818186 0.539157 0.318328']
A0543.png,non-bleeding,-
A0159.png,non-bleeding,-
A0289.png,bleeding,-
A0497.png,bleeding, ['0 0.513799 0.469384 0.737429 0.933779 0.204448']
A0375.png,non-bleeding,-
A0295.png,bleeding, ['0 0.533866 0.500749 0.919474 0.998332 0.431865']
A0495.png,non-bleeding,-
A0519.png,non-bleeding,-
A0464.png,non-bleeding,-
A0505.png,bleeding, ['0 0.126659 0.865273 0.252253 0.263551 0.124125']
A0506.png,bleeding, ['0 0.254856 0.339183 0.186944 0.224049 0.217109']
A0278.png,non-bleeding,-
A0237.png,non-bleeding,-
A0194.png,bleeding, ['0 0.532483 0.340933 0.243876 0.388193 0.236877']
A0306.png,non-bleeding,-
A0539.png,non-bleeding,-
A0219.png,non-bleeding,-
A0546.png,non-bleeding,-
A0184.png,bleeding, ['0 0.465194 0.518372 0.85249 0.959582 0.0790059']
A0226.png,bleeding, ['0 0.106336 0.858006 0.212401 0.282926 0.103724']
A0112.png,non-bleeding,-
A0390.png,bleeding, ['0 0.169742 0.875657 0.339291 0.248685 0.182612']
A0520.png,non-bleeding,-
A0336.png,non-bleeding,-
A0265.png,bleeding,-
A0311.png,non-bleeding,-
A0071.png,non-bleeding,-
A0232.png,non-bleeding,-
A0203.png,bleeding, ['0 0.422869 0.287145 0.837592 0.548654 0.239906']
A0190.png,bleeding, ['0 0.543125 0.494179 0.74663 0.89313 0.141547']
A0142.png,bleeding, ['0 0.59709 0.808272 0.702492 0.377813 0.238258']
A0458.png,bleeding,-
A0231.png,non-bleeding,-
A0338.png,non-bleeding,-
A0086.png,non-bleeding,-
A0373.png,non-bleeding,-
A0218.png,non-bleeding,-
A0492.png,non-bleeding,-
A0138.png,bleeding, ['0 0.80681 0.715292 0.374504 0.550773 0.203536']
A0239.png,non-bleeding,-
A0524.png,non-bleeding,-
A0440.png,non-bleeding,-
A0110.png,non-bleeding,-
A0310.png,non-bleeding,-
A0170.png,non-bleeding,-
A0115.png,bleeding,-
A0330.png,non-bleeding,-
A0076.png,non-bleeding,-
A0552.png,non-bleeding,-
A0166.png,non-bleeding,-
A0223.png,bleeding,-
A0173.png,bleeding, ['0 0.806311 0.5767 0.376706 0.846599 0.0851551']
A0240.png,non-bleeding,-
A0523.png,non-bleeding,-
A0125.png,non-bleeding,-
A0493.png,non-bleeding,-
A0535.png,non-bleeding,-
A0485.png,bleeding, ['0 0.544742 0.0586739 0.106161 0.0915326 0.229165']
A0199.png,bleeding, ['0 0.434259 0.295673 0.773163 0.518659 0.27863']
A0382.png,bleeding, ['0 0.479912 0.75992 0.627243 0.467951 0.462564' '0 0.217009 0.317016 0.117274 0.335669 0.256834' '0 0.197013 0.309606 0.161928 0.357597 0.232088']
A0401.png,bleeding, ['0 0.474904 0.484736 0.647297 0.913618 0.21403']
A0331.png,non-bleeding,-
A0241.png,bleeding, ['0 0.814178 0.781182 0.369596 0.396193 0.458775']
A0283.png,bleeding, ['0 0.814178 0.781182 0.369596 0.396193 0.458775']
A0169.png,bleeding,-
A0097.png,non-bleeding,-
A0099.png,bleeding,-
A0060.png,non-bleeding,-
A0187.png,bleeding,-
A0089.png,non-bleeding,-
A0303.png,bleeding, ['0 0.147719 0.83773 0.295395 0.323767 0.206067']
A0528.png,non-bleeding,-
A0284.png,bleeding, ['0 0.806113 0.633155 0.387773 0.629339 0.321129']
A0441.png,non-bleeding,-
A0084.png,non-bleeding,-
A0435.png,non-bleeding,-
A0208.png,non-bleeding,-
A0210.png,non-bleeding,-
A0430.png,non-bleeding,-
A0302.png,non-bleeding,-
A0273.png,bleeding, ['0 0.428765 0.746752 0.84961 0.492635 0.241739']
A0387.png,bleeding, ['0 0.640979 0.506972 0.0885996 0.166858 0.324112']
A0280.png,non-bleeding,-
A0229.png,bleeding, ['0 0.5095 0.14817 0.0911064 0.0905502 0.185151']
A0457.png,non-bleeding,-
A0527.png,non-bleeding,-
A0217.png,non-bleeding,-
A0080.png,non-bleeding,-
A0514.png,non-bleeding,-
A0335.png,bleeding, ['0 0.912471 0.437319 0.111191 0.151477 0.240061']
A0083.png,non-bleeding,-
A0221.png,bleeding, ['0 0.318897 0.329285 0.579417 0.233884 0.081177']
A0526.png,non-bleeding,-
A0325.png,non-bleeding,-
A0255.png,non-bleeding,-
A0143.png,bleeding, ['0 0.59709 0.808272 0.702492 0.377813 0.238258']
A0161.png,bleeding, ['0 0.605297 0.385265 0.37633 0.349706 0.383654']
A0501.png,non-bleeding,-
A0238.png,non-bleeding,-
A0323.png,non-bleeding,-
A0098.png,non-bleeding,-
A0545.png,non-bleeding,-
A0091.png,non-bleeding,-
A0415.png,non-bleeding,-
A0117.png,bleeding, ['0 0.696554 0.446968 0.505779 0.338394 0.579305']
A0540.png,non-bleeding,-
A0066.png,non-bleeding,-
A0224.png,bleeding, ['0 0.0722466 0.578402 0.14432 0.834378 0.0982474']
A0489.png,bleeding,-
A0404.png,bleeding,-
A0251.png,bleeding,-
A0529.png,non-bleeding,-
A0085.png,non-bleeding,-
A0484.png,bleeding, ['0 0.541878 0.368614 0.101325 0.0938255 0.424116']
A0381.png,bleeding, ['0 0.739033 0.777644 0.505304 0.443784 0.278056']
A0403.png,bleeding,-
A0345.png,bleeding,-
A0072.png,non-bleeding,-
A0297.png,non-bleeding,-
A0211.png,non-bleeding,-
A0513.png,non-bleeding,-
A0371.png,non-bleeding,-
A0090.png,non-bleeding,-
A0129.png,bleeding, ['0 0.70265 0.631043 0.583992 0.669019 0.413892']
A0174.png,bleeding, ['0 0.504779 0.576598 0.990443 0.840847 0.0766412']
A0275.png,bleeding, ['0 0.188508 0.780536 0.356741 0.422488 0.0886789']
A0111.png,bleeding, ['0 0.0959002 0.658327 0.19159 0.676041 0.251617' '0 0.0677789 0.670117 0.135237 0.651499 0.210768']
A0379.png,non-bleeding,-
A0405.png,bleeding, ['0 0.490202 0.414905 0.089466 0.0917503 0.13309']
A0149.png,non-bleeding,-
A0094.png,bleeding, ['0 0.323146 0.338302 0.271642 0.118148 0.096914']
A0521.png,non-bleeding,-
A0460.png,non-bleeding,-
A0222.png,non-bleeding,-
A0095.png,bleeding, ['0 0.0700604 0.655747 0.139573 0.684136 0.101747']
A0334.png,bleeding, ['0 0.752382 0.287291 0.324239 0.380006 0.534872']
A0234.png,non-bleeding,-
A0548.png,non-bleeding,-
A0103.png,bleeding,-
A0121.png,bleeding, ['0 0.253779 0.464936 0.502126 0.46155 0.511224']
A0307.png,non-bleeding,-
A0088.png,bleeding,-
A0537.png,non-bleeding,-
A0081.png,non-bleeding,-
A0320.png,bleeding, ['0 0.0827466 0.870583 0.164626 0.258834 0.0845356']
A0118.png,non-bleeding,-
A0490.png,non-bleeding,-
A0380.png,bleeding, ['0 0.73594 0.826508 0.333105 0.334397 0.421432' '0 0.663216 0.811614 0.493991 0.360082 0.30419']
A0168.png,bleeding, ['0 0.512261 0.717272 0.768662 0.548552 0.228125']
A0319.png,non-bleeding,-
A0445.png,bleeding, ['0 0.757939 0.874438 0.484122 0.251124 0.533483']
A0102.png,bleeding,-
A0411.png,non-bleeding,-
A0421.png,non-bleeding,-
A0293.png,non-bleeding,-
A0109.png,bleeding, ['0 0.666875 0.611221 0.514477 0.260626 0.383096']
A0242.png,non-bleeding,-
A0082.png,non-bleeding,-
A0236.png,non-bleeding,-
A0329.png,non-bleeding,-
A0104.png,non-bleeding,-
A0502.png,non-bleeding,-
A0424.png,non-bleeding,-
A0069.png,non-bleeding,-
A0123.png,non-bleeding,-
A0359.png,non-bleeding,-
A0061.png,bleeding,-
A0150.png,bleeding, ['0 0.482695 0.772843 0.838792 0.437971 0.280694']
A0113.png,non-bleeding,-
A0551.png,bleeding, ['0 0.248879 0.103193 0.0904288 0.115613 0.0910301']
A0328.png,bleeding, ['0 0.272114 0.36527 0.192147 0.201838 0.236782']
A0525.png,non-bleeding,-
A0151.png,bleeding, ['0 0.482695 0.772843 0.838792 0.437971 0.280694']
A0160.png,bleeding, ['0 0.605297 0.385265 0.37633 0.349706 0.383654']
A0476.png,bleeding,-
A0431.png,non-bleeding,-
A0064.png,bleeding,-
A0051.png,bleeding,-
A0163.png,non-bleeding,-
A0227.png,non-bleeding,-
A0550.png,non-bleeding,-
A0235.png,bleeding, ['0 0.63818 0.538751 0.296298 0.262512 0.366208']
A0347.png,non-bleeding,-
A0312.png,bleeding, ['0 0.126783 0.31435 0.245245 0.268784 0.351255']
A0171.png,bleeding, ['0 0.709289 0.516522 0.557224 0.961865 0.0878775']
A0395.png,bleeding,-
A0108.png,bleeding, ['0 0.666875 0.611221 0.514477 0.260626 0.383096']
A0147.png,non-bleeding,-
A0425.png,bleeding,-
A0422.png,bleeding, ['0 0.595734 0.145021 0.543411 0.27712 0.406314']
A0389.png,non-bleeding,-
A0522.png,non-bleeding,-
A0327.png,non-bleeding,-
A0322.png,non-bleeding,-
A0383.png,non-bleeding,-
A0065.png,bleeding, ['0 0.645186 0.532947 0.68088 0.910792 0.280387']
A0326.png,non-bleeding,-
A0214.png,non-bleeding,-
A0233.png,non-bleeding,-
A0486.png,bleeding, ['0 0.697559 0.276449 0.115749 0.16822 0.232174']
A0225.png,non-bleeding,-
A0437.png,non-bleeding,-
A0388.png,bleeding, ['0 0.321155 0.518226 0.153787 0.338572 0.140108']
A0201.png,bleeding, ['0 0.369287 0.410435 0.312931 0.29509 0.129994']
A0432.png,non-bleeding,-
A0119.png,non-bleeding,-
A0474.png,bleeding,-
A0427.png,bleeding, ['0 0.72254 0.754614 0.350338 0.3626 0.524379']
A0246.png,non-bleeding,-
A0228.png,bleeding, ['0 0.176353 0.190177 0.0544017 0.0463152 0.136308']
A0477.png,non-bleeding,-
A0339.png,non-bleeding,-
A0480.png,non-bleeding,-
A0062.png,bleeding,-
A0213.png,bleeding, ['0 0.789003 0.24331 0.392111 0.178219 0.205811']
A0063.png,non-bleeding,-
A0318.png,bleeding, ['0 0.527257 0.341681 0.110872 0.14597 0.264577']
A0466.png,non-bleeding,-
A0164.png,non-bleeding,-
A0122.png,bleeding, ['0 0.846962 0.300487 0.292502 0.325285 0.298438']
A0384.png,non-bleeding,-
A0050.png,bleeding,-
A0420.png,bleeding, ['0 0.0785033 0.896814 0.15589 0.205627 0.0770606']
A0116.png,bleeding, ['0 0.154058 0.280112 0.304281 0.411254 0.330169']
A0124.png,non-bleeding,-
A0230.png,bleeding, ['0 0.107598 0.871634 0.214892 0.256732 0.0977556']
A0126.png,bleeding, ['0 0.392892 0.484794 0.224554 0.381665 0.113317']
A0279.png,non-bleeding,-
A0313.png,bleeding, ['0 0.126783 0.31435 0.245245 0.268784 0.351255']
A0426.png,bleeding,-
A0516.png,bleeding, ['0 0.6928 0.422228 0.364519 0.509779 0.128889']
A0337.png,bleeding, ['0 0.816432 0.47646 0.181389 0.105661 0.422709']
A0391.png,bleeding, ['0 0.148955 0.891432 0.296801 0.217136 0.0863461']
A0172.png,non-bleeding,-
A0271.png,bleeding, ['0 0.418155 0.21089 0.811118 0.417907 0.448921']
A0120.png,bleeding, ['0 0.804617 0.74206 0.390767 0.514753 0.309292']
A0096.png,bleeding,-
